time,signal
0,6.646637211880934
1,6.6133064820048055
2,6.576354955863649
3,6.535629161823902
4,6.4909792693177
5,6.442259657849022
6,6.389329478878016
7,6.332053209040298
8,6.270301193177895
9,6.203950175682048
10,6.1328838186758095
11,6.056993205595503
12,5.976177328765432
13,5.89034355959868
14,5.799408100099324
15,5.703296414386871
16,5.601943639012866
17,5.495294970891704
18,5.383306031723066
19,5.265943207841405
20,5.143183964489083
21,5.015017133573167
22,4.8814431740320625
23,4.742474404006486
24,4.59813520407977
25,4.4484621909249
26,4.293504360769952
27,4.13332320216933
28,3.967992777645387
29,3.79759977384343
30,3.6222435199223995
31,3.442035973983756
32,3.2571016774218
33,3.067577677159874
34,2.8736134158181192
35,2.6753705899399463
36,2.4730229764852396
37,2.2667562278792155
38,2.0567676359856644
39,1.84326586545266
40,1.6264706569568261
41,1.4066125009493038
42,1.1839322825818643
43,0.9586808985656978
44,0.7311188467872161
45,0.5015157895754427
46,0.27015009158340386
47,0.03730833331138861
48,-0.19671519863686404
49,-0.4316190434137501
50,-0.6670951186942544
51,-0.9028292930858
52,-1.1385019768665716
53,-1.3737887296891182
54,-1.608360883841248
55,-1.8418861816147238
56,-2.0740294252945777
57,-2.3044531382476703
58,-2.5328182355587314
59,-2.758784702635671
60,-2.982012280183312
61,-3.2021611539260304
62,-3.4188926474452197
63,-3.6318699164869805
64,-3.840758643088832
65,-4.045227727872079
66,-4.244949978848047
67,-4.439602795092369
68,-4.628868843651461
69,-4.812436728059307
70,-4.990001646860819
71,-5.161266040560093
72,-5.325940225437872
73,-5.483743012712495
74,-5.634402311552256
75,-5.777655714484568
76,-5.913251063788374
77,-6.0409469975008445
78,-6.160513473717419
79,-6.271732271915541
80,-6.374397470086943
81,-6.468315896520853
82,-6.553307555140904
83,-6.629206023361679
84,-6.695858821496595
85,-6.753127752816992
86,-6.800889213432701
87,-6.839034471236838
88,-6.8674699132320765
89,-6.886117260631603
90,-6.8949137512057135
91,-6.893812288423912
92,-6.882781557022443
93,-6.861806104708259
94,-6.830886389792111
95,-6.790038794625765
96,-6.739295604800904
97,-6.67870495414999
98,-6.608330735671963
99,-6.52825247858798
100,-6.438565191814143
101,-6.339379174219305
102,-6.230819792116238
103,-6.113027224513418
104,-5.986156176732549
105,-5.850375563073132
106,-5.705868159279935
107,-5.552830225641947
108,-5.391471101621995
109,-5.222012772984485
110,-5.044689412454884
111,-4.859746895007785
112,-4.667442288941104
113,-4.4680433239518065
114,-4.2618278374832625
115,-4.049083200665855
116,-3.8301057252209656
117,-3.6052000527431214
118,-3.3746785278166103
119,-3.1388605564606076
120,-2.8980719514308264
121,-2.652644265935939
122,-2.4029141173534807
123,-2.1492225025521856
124,-1.8919141064462357
125,-1.6313366054213068
126,-1.3678399672824757
127,-1.1017757493803446
128,-0.8334963965738118
129,-0.5633545406859102
130,-0.291702303102896
131,-0.018890602156681258
132,0.25473153308360885
133,0.5288176410038066
134,0.8030244960351469
135,1.077012766084386
136,1.3504476572747497
137,1.6229995445027388
138,1.8943445863535073
139,2.1641653229585858
140,2.4321512554243787
141,2.697999405507865
142,2.9614148542673506
143,3.2221112584702487
144,3.479811343597535
145,3.734247372344562
146,3.985161587580916
147,4.232306628797371
148,4.475445921135926
149,4.714354036168787
150,4.94881702366414
151,5.178632713650603
152,5.403610988167441
153,5.623574022164816
154,5.83835649309638
155,6.047805758825848
156,6.251782003549235
157,6.450158351515377
158,6.64282094840831
159,6.829669010336811
160,7.010614840457879
161,7.185583813342071
162,7.354514327269948
163,7.5173577247289876
164,7.6740781814601675
165,7.824652564482031
166,7.9690702595974185
167,8.107332968964375
168,8.239454479387296
169,8.365460402056813
170,8.485387884538428
171,8.599285295878113
172,8.707211885759936
173,8.809237418714627
174,8.905441784439533
175,8.995914585348988
176,9.080754702529989
177,9.160069841330653
178,9.233976057858515
179,9.302597267711942
180,9.366064738310664
181,9.424516566230764
182,9.478097140985046
183,9.526956596721607
184,9.571250253341578
185,9.61113804856129
186,9.646783962464344
187,9.678355436105562
188,9.706022785740993
189,9.729958614266536
190,9.750337221452002
191,9.76733401455746
192,9.781124920915005
193,9.791885804050926
194,9.79979188491139
195,9.80501716973871
196,9.807733886125245
197,9.808111928748218
198,9.80631831626087
199,9.802516660784013
200,9.796866651406766
201,9.789523553066473
202,9.780637722135538
203,9.770354139997195
204,9.75881196584331
205,9.746144109875102
206,9.732476828032699
207,9.717929339321243
208,9.702613466740761
209,9.686633302763468
210,9.67008490023669
211,9.653055989521523
212,9.635625722607335
213,9.61786444487041
214,9.599833495071334
215,9.581585034110692
216,9.563161902986131
217,9.544597510316429
218,9.5259157497195
219,9.507130947252323
220,9.488247839040788
221,9.469261579147602
222,9.450157777646076
223,9.430912568787626
224,9.41149270907099
225,9.391855704941818
226,9.371949969772867
227,9.351715009697097
228,9.331081637789595
229,9.309972216018805
230,9.288300924313848
231,9.265974056022438
232,9.242890338963834
233,9.21894128121279
234,9.194011540684699
235,9.167979317528296
236,9.14071676827134
237,9.112090440606218
238,9.081961727646966
239,9.050187340436663
240,9.01661979743464
241,8.981107929667056
242,8.943497400181366
243,8.90363123640602
244,8.861350373981216
245,8.816494210594179
246,8.768901168324557
247,8.71840926298078
248,8.664856678888057
249,8.608082347571726
250,8.547926528767592
251,8.484231392181865
252,8.416841598419188
253,8.345604877496694
254,8.270372603365661
255,8.191000362870142
256,8.107348517583572
257,8.01928275698038
258,7.926674641418936
259,7.82940213343648
260,7.727350115883561
261,7.620410895457319
262,7.508484690227921
263,7.391480099790939
264,7.269314556721111
265,7.1419147580481495
266,7.009217075524752
267,6.871167943508556
268,6.727724223335793
269,6.578853543121823
270,6.424534611985206
271,6.264757507755466
272,6.099523937290449
273,5.928847468598131
274,5.752753734027467
275,5.571280603866128
276,5.384478329756329
277,5.192409657416605
278,4.99514990823376
279,4.792787029368148
280,4.585421612094661
281,4.373166878181709
282,4.156148634191691
283,3.934505193667246
284,3.7083872672490723
285,3.4779578208521684
286,3.243391902109108
287,3.0048764353686352
288,2.7626099856186936
289,2.5168024917819425
290,2.2676749699096406
